,Unnamed: 0,xmin,ymin,xmax,ymax,score,label
0,0,857,2560,1200,2918,0.5620729923,0.0
1,1,584,2829,876,3116,0.5076936483,0.0
2,2,1599,4142,2010,4541,0.503475368,0.0
3,3,4138,4183,4406,4445,0.4676228762,0.0
4,4,3089,3779,3396,4093,0.446588695,0.0
5,5,998,2936,1277,3216,0.4437579215,0.0
6,6,1300,353,1637,704,0.4356460571,0.0
7,7,2,2621,183,2818,0.4273546636,0.0
8,8,398,2984,594,3181,0.4044772685,0.0
9,9,2677,3837,3042,4195,0.4032966793,0.0
10,10,2729,3517,3050,3814,0.3949572742,0.0
11,11,491,3265,748,3532,0.3927946687,0.0
12,12,1041,1871,1273,2095,0.387468785,0.0
13,13,924,251,1274,601,0.3799240589,0.0
14,14,3362,3984,3633,4261,0.3771065176,0.0
15,15,1499,746,1716,968,0.3720522821,0.0
16,16,3234,21,3818,566,0.3663163483,0.0
17,17,2801,2658,3146,3004,0.3656389117,0.0
18,18,242,3390,503,3653,0.3652601838,0.0
19,19,0,3593,117,3866,0.3613913655,0.0
20,20,1256,3627,1610,4025,0.3573015034,0.0
21,21,2403,2529,2709,2828,0.3536017537,0.0
22,22,1912,527,2181,818,0.3515660465,0.0
23,23,1285,2461,1515,2709,0.3477374315,0.0
24,24,707,2073,937,2306,0.3463883996,0.0
25,25,126,2056,692,2627,0.3414934278,0.0
26,26,1345,1662,1582,1898,0.3361822963,0.0
27,27,16,69,379,463,0.3318856955,0.0
28,28,1353,1997,1638,2297,0.3301911652,0.0
29,29,1141,2,1487,260,0.3301251829,0.0
30,30,1273,2723,1538,3003,0.3234065473,0.0
31,31,1014,4100,1364,4485,0.3213032186,0.0
32,32,3796,3947,4061,4217,0.3195933998,0.0
33,33,2360,21,2743,338,0.3187326193,0.0
34,34,1343,1298,1636,1585,0.3139626086,0.0
35,35,5865,211,6426,801,0.3137538731,0.0
36,36,885,651,1240,980,0.3117228448,0.0
37,37,796,1023,1047,1262,0.3057501018,0.0
38,38,18,2984,340,3359,0.3012105227,0.0
39,39,1728,204,2134,568,0.2942077816,0.0
40,40,2296,2826,2544,3080,0.2936650217,0.0
41,41,684,822,868,1018,0.2912261188,0.0
42,42,2432,3011,2809,3401,0.2852685452,0.0
43,43,5249,111,5838,721,0.2850206792,0.0
44,44,5472,1903,5783,2177,0.280305177,0.0
45,45,2123,3397,2573,3864,0.2802656293,0.0
46,46,643,3560,961,3931,0.2794788778,0.0
47,47,2905,4211,3310,4541,0.2776350379,0.0
48,48,200,1534,485,1826,0.2775550485,0.0
49,49,1799,0,2184,201,0.2769929469,0.0
50,50,4724,4442,5009,4547,0.2757266164,0.0
51,51,719,3,1113,269,0.2732886374,0.0
52,52,3015,2948,3374,3295,0.2728079557,0.0
53,53,4313,1310,4775,1724,0.2725635171,0.0
54,54,1673,1414,1904,1659,0.2680595815,0.0
55,55,479,223,776,515,0.2674324512,0.0
56,56,1651,1965,1888,2206,0.2669610679,0.0
57,57,2897,339,3217,638,0.2659625113,0.0
58,58,26,3860,616,4492,0.2646124959,0.0
59,59,2303,3911,2589,4209,0.2624882162,0.0
60,60,2304,484,2589,775,0.2622200251,0.0
61,61,56,475,483,918,0.2586251795,0.0
62,62,3774,3,4299,375,0.2535744011,0.0
63,63,2461,4143,2854,4502,0.2486553192,0.0
64,64,5723,3853,6186,4328,0.24181512,0.0
65,65,1580,2549,1959,2939,0.2408343703,0.0
66,66,1001,3261,1351,3596,0.2390044779,0.0
67,67,5886,0,6442,252,0.2329771817,0.0
68,68,4598,1640,5169,2192,0.2323993295,0.0
69,69,3541,3673,3887,4023,0.2310774326,0.0
70,70,3567,529,3929,881,0.2180192918,0.0
71,71,3810,1641,4303,2133,0.2175477445,0.0
72,72,955,3621,1275,3973,0.2160895616,0.0
73,73,5119,835,5753,1468,0.1542568058,0.0
74,74,4022,2104,4698,2767,0.1205511689,0.0
75,75,5159,2562,5780,3182,0.1149277538,0.0
76,76,5865,2577,6454,3219,0.108189255,0.0
77,77,4226,169,4835,913,0.1079944745,0.0
78,78,5899,1156,6454,1795,0.1047534421,0.0
79,79,2962,988,3587,1608,0.1038423106,0.0
